Time,jct-Time,unix_Time_rel,unix_Time,0x2d2_CHECKSUM,0x2d2_Counter,0x2d2_AC_ON,0x2d2_AC_Mode,0x2_Steering_Angle,0x2_Counter,0x2_CHECKSUM,0x40_CHECKSUM,0x40_Counter,0x40_Engine_RPM,0x40_Throttle_Pedal,0x40_Throttle_Cruise,0x40_Throttle_Combo,0x40_Signal1,0x40_Off_Accel,0x240_CHECKSUM,0x240_Counter,0x240_Signal1,0x240_Cruise_On,0x240_Cruise_Activated,0x240_Signal2,0x241_CHECKSUM,0x241_Counter,0x241_Cruise_On,0x241_Cruise_Activated,0x241_Cruise_Active,0x48_CHECKSUM,0x48_Counter,0x48_Gear,0x48_RPM,0x49_CHECKSUM,0x49_Counter,0x49_CVT_Gear,0x146_CHECKSUM,0x146_Counter,0x146_Signal1,0x146_Main,0x146_Set,0x146_Resume,0x146_Signal2,0x122_CHECKSUM,0x122_Counter,0x122_SET_1,0x122_LKAS_Output,0x122_LKAS_Request,0x220_CHECKSUM,0x220_Counter,0x220_Signal1,0x220_Brake_Pressure,0x220_Signal2,0x220_Cruise_Brake_Lights,0x220_Cruise_Brake_Fault,0x220_Cruise_Brake_Active,0x220_Cruise_Activated,0x220_Signal3,0x221_CHECKSUM,0x221_Counter,0x221_Signal1,0x221_Cruise_Fault,0x221_Cruise_Throttle,0x221_Signal2,0x221_Car_Follow,0x221_Signal4,0x221_Signal3,0x221_Cruise_Brake_Active,0x221_Distance_Swap,0x221_Cruise_EPB,0x221_Close_Distance,0x221_Signal5,0x221_Cruise_Cancel,0x221_Cruise_Set,0x221_Cruise_Resume,0x221_Signal6,0x222_CHECKSUM,0x222_Counter,0x222_Signal1,0x222_Cruise_Fault,0x222_Cruise_RPM,0x222_Cruise_Activated,0x222_Signal2,0x222_Brake_Lights,0x222_Cruise_Hold,0x222_Signal3,0x138_CHECKSUM,0x138_Counter,0x138_Brake_1,0x138_Brake_2,0x139_CHECKSUM,0x139_Counter,0x139_Signal1,0x139_Speed,0x139_Brake_Lights,0x139_Signal2,0x139_Brake_Pedal,0x139_Signal3,0x13a_CHECKSUM,0x13a_Counter,0x13a_FR,0x13a_RR,0x13a_RL,0x13a_FL,0x13b_Lateral,0x13b_Longitudinal,0x13c_CHECKSUM,0x13c_Counter,0x13c_Signal1,0x13c_ES_Brake,0x13c_Signal2,0x13c_Brake,0x13c_Signal3,0x118_CHECKSUM,0x118_Counter,0x118_State,0x119_CHECKSUM,0x119_Counter,0x119_Steer_Error_1,0x119_Steer_Torque_Sensor,0x119_Steer_Error_2,0x119_Steer_Warning,0x119_Steering_Angle,0x119_Steer_Torque_Output,0x321_CHECKSUM,0x321_Counter,0x321_PCB_Off,0x321_LDW_Off,0x321_Signal1,0x321_Cruise_Soft_Disable,0x321_Signal2,0x321_Cruise_Distance,0x321_Signal3,0x321_Conventional_Cruise,0x321_Signal4,0x321_Cruise_Disengaged,0x321_Cruise_Activated,0x321_Signal5,0x321_Cruise_Set_Speed,0x321_Cruise_Fault,0x321_Signal6,0x321_Brake_Lights,0x321_Car_Follow,0x321_Signal7,0x321_Far_Distance,0x321_Cruise_State,0x322_CHECKSUM,0x322_Counter,0x322_Keep_Hands_On_Wheel,0x322_Empty_Box,0x322_Signal1,0x322_LKAS_ACTIVE,0x322_Signal2,0x322_Backward_Speed_Limit_Menu,0x322_LKAS_ENABLE_3,0x322_LKAS_Left_Line_Light_Blink,0x322_LKAS_ENABLE_2,0x322_LKAS_Right_Line_Light_Blink,0x322_LKAS_Left_Line_Visible,0x322_LKAS_Left_Line_Green,0x322_LKAS_Right_Line_Visible,0x322_LKAS_Right_Line_Green,0x322_LKAS_Alert,0x322_Signal3,0x228_CHECKSUM,0x228_Counter,0x228_R_ADJACENT,0x228_L_ADJACENT,0x228_R_APPROACHING,0x228_L_APPROACHING,0x3ac_CHECKSUM,0x3ac_Counter,0x3ac_DOOR_OPEN_FL,0x3ac_DOOR_OPEN_FR,0x3ac_DOOR_OPEN_RL,0x3ac_DOOR_OPEN_RR,0x3ac_DOOR_OPEN_TRUNK,0x3ac_BRAKE,0x3ac_Lowbeam,0x3ac_WIPERS,0x3ac_Highbeam,0x3ac_FOG_LIGHTS2,0x3ac_DASH_BTN_LIGHTS,0x390_CHECKSUM,0x390_Counter,0x390_ICY_ROAD,0x390_SEATBELT_FL,0x390_LEFT_BLINKER,0x390_RIGHT_BLINKER,0x68d_CHECKSUM,0x68d_Counter,0x68d_Units,0x610_roll_rotation_x,0x610_pitch_rotation_y,0x611_yaw_rotation_z,0x630_din1_status,0x630_din2_status,0x630_dout_status,0x630_sd_present,0x630_gps_power_status,0x630_device_id,0x620_gps_antenna_status,0x620_gps_num_satellites,0x620_gps_navigation_method,0x621_gps_course,0x621_gps_speed,0x622_gps_longitude_minutes,0x622_gps_longitude_degree,0x622_gps_indicator_ew,0x623_gps_latitude_minutes,0x623_gps_latitude_degree,0x623_gps_indicator_ns,0x624_gps_altitude,0x625_gps_pdop,0x625_gps_hdop,0x626_gps_vdop,0x627_utc_year,0x627_utc_month,0x627_utc_day_of_month,0x627_utc_hour,0x627_utc_minute,0x627_utc_second,0x600_acceleration_x,0x600_acceleration_y,0x600_acceleration_z,0x600_temperature,0x600_vertical_axis,0x600_orientation,0x601_magnetic_field_x,0x601_magnetic_field_y,0x601_magnetic_field_z,0x640_rtc_sec,0x640_rtc_min,0x640_rtc_hour,0x640_rtc_day_of_week,0x640_rtc_day_of_month,0x640_rtc_month,0x640_rtc_year,lat,lon,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,gb_x,gb_y,gb_z,ab_x,ab_y,ab_z,roll,pitch,azi,imname
0,03:06.1,8.614509821,1596517386,2,6,0,5,82,3,174,241,8,1378,31,0,31,4,0,177,8,10092544,0,0,2949760,8,8,0,0,0,232,4,D,1061,108,4,161,209,4,28333409,0,0,0,0,59,8,1,0,0,49,15,0,0,0,0,0,0,0,0,14,15,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,96,15,0,0,1065,0,0,0,0,0,11,9,0,0,3,9,3,11.64375,0,1,0,15517,206,9,11.628,12.654,11.628,12.369,0,0.1,67,9,5.76648E+13,0,4,0,0,177,10,0,231,10,0,-14,0,0,80.4636,-32,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,109,3,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,107,6,1,0,0,0,40,3,3,840971878,1664294968,807415856,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,924856677,875569249,1696610356,49,52,32,48,56,32,100283.68,48171.2,32218.4,74.5,2,1,4084.8,3696,2472,48,49,32,51,56,32,13104,35.65002442,139.6601969,0.085,-0.232,-0.232,0.104,0.226,-9.695,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-0.884,0.972,-2.126,230
0.1,03:06.2,8.714509964,1596517386,4,8,0,5,78.6,2,138,27,15,1416,30,0,30,3,0,179,10,10092544,0,0,2949760,90,10,0,0,0,244,11,D,1066,114,11,161,9,8,30431361,0,0,0,0,63,12,1,0,0,35,1,0,0,0,0,0,0,0,0,0,1,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,81,1,0,0,1064,0,0,0,0,0,60,13,0,0,9,13,3,11.75625,0,1,0,15517,106,13,11.856,12.597,11.913,12.54,0.2,0.1,120,13,5.77367E+13,0,4,0,0,56,14,0,166,14,0,-22,0,0,76.6661,-35,63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,110,4,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,112,7,1,0,1,0,40,3,3,840971878,1664294968,807415856,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,924856677,875569249,1696610356,49,52,32,48,56,32,98281.76,48171.2,32218.4,74.5,3,5,4084.8,3696,2472,48,49,32,51,56,32,13104,35.65002442,139.6601969,-0.354,-0.8,-7.22,1.001,0.491,-10.004,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-2.384,-1.121,-85.468,232
0.2,03:06.3,8.814509869,1596517386,8,12,0,5,77.9,4,135,75,9,1472,29,0,29,3,0,181,12,10092544,0,0,2949760,178,12,0,0,0,5,5,D,1090,108,5,161,71,13,31480833,0,0,0,0,52,1,1,0,0,37,3,0,0,0,0,0,0,0,0,2,3,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,106,3,0,0,1087,0,0,0,0,0,58,2,0,0,3,2,3,11.98125,0,1,0,15518,103,2,12.198,12.768,12.255,12.768,0.3,0.2,170,2,5.78785E+13,0,4,0,0,68,3,0,140,3,0,6,0,0,76.1887,-19,63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,71,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,112,6,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,114,9,1,0,1,0,40,3,3,941647409,1650729013,891304242,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,51236.64,48171.2,32218.4,74.5,3,5,7464,3696,2472,48,49,32,51,56,32,13104,35.65002442,139.6601969,2.216,-1.935,-6.543,0.61,0.439,-9.619,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-2.164,-1.291,-86.127,235
0.3,03:06.4,8.914510012,1596517386,11,15,0,5,75.5,6,114,83,3,1490,27,0,27,3,0,183,14,10092544,0,0,2949760,21,14,0,0,0,23,15,D,1100,120,15,161,79,2,32529697,0,0,0,0,57,6,1,0,0,39,5,0,0,0,0,0,0,0,0,4,5,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,121,5,0,0,1100,0,0,0,0,0,82,7,0,0,13,7,3,12.2625,0,1,0,15518,206,7,12.483,13.224,12.654,13.224,-0.2,0.4,144,7,5.80202E+13,0,4,0,0,130,8,0,5,8,0,28,0,0,73.0639,-13,64,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,114,8,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,115,10,1,0,1,0,40,3,3,824205879,875700276,824205879,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,100494.82,102223.04,32429.54,74.5,0,5,4315.2,3696,2472,48,49,32,51,56,32,13104,35.65002442,139.6601969,1.892,-1.44,-6.763,0.522,-0.244,-9.409,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-1.978,-1.489,-86.797,238
0.4,03:06.5,9.014509916,1596517387,254,2,0,5,68.4,0,31,60,13,1463,24,0,24,3,0,169,0,10092544,0,0,2949760,16,0,0,0,0,19,9,D,1104,116,9,161,55,7,30432113,0,0,0,0,62,11,1,0,0,41,7,0,0,0,0,0,0,0,0,6,7,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,124,7,0,0,1101,0,0,0,0,0,157,12,0,0,25,12,3,12.65625,0,1,0,15518,30,12,12.939,13.68,12.996,13.623,-0.1,0.4,215,12,5.8162E+13,0,4,0,0,142,13,0,103,13,0,6,0,0,66.185,-21,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,73,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,115,9,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,116,11,1,0,1,0,40,3,3,857748275,959455283,891304242,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,56241.44,48171.2,32218.4,74.5,0,5,7464,3696,2472,48,49,32,51,56,32,13104,35.65002442,139.6601969,0.494,0.5,-6.94,0.455,-0.742,-9.451,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-1.763,-1.516,-87.473,241
0.5,03:06.6,9.114509821,1596517387,2,6,0,5,58.9,2,196,30,7,1446,20,0,20,4,0,171,2,10092544,0,0,2949760,216,2,0,0,0,28,3,D,1121,109,3,161,41,12,28334689,0,0,0,0,51,0,1,0,0,43,9,0,0,0,0,0,0,0,0,8,9,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,146,9,0,0,1121,0,0,0,0,0,235,1,0,0,22,1,3,13.05,0,1,0,15519,132,1,13.566,13.908,13.338,14.022,0,0.4,239,1,5.82094E+13,0,4,0,0,73,2,0,31,2,0,-19,0,0,56.8106,-21,66,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,117,11,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,114,13,1,0,0,0,40,3,3,807429427,929308769,874538337,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,54239.52,48171.2,32218.4,74.5,1,5,4238.4,3696,2472,48,50,32,51,56,32,13104,35.65002442,139.6601969,-1.221,1.373,-6.189,0.934,-0.491,-9.698,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-1.934,-1.406,-88.132,244
0.6,03:06.7,9.214509964,1596517387,5,9,0,5,46.2,4,72,238,1,1406,19,0,19,4,0,173,4,10092544,0,0,2949760,138,4,0,0,0,29,13,D,1113,118,13,161,244,1,26236897,0,0,0,0,56,5,1,0,0,45,11,0,0,0,0,0,0,0,0,10,11,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,140,11,0,0,1113,0,0,0,0,0,108,6,0,0,33,6,3,13.3875,0,1,0,15519,103,6,13.68,14.421,13.908,14.307,0.1,0.5,58,6,5.83514E+13,0,4,0,0,200,7,0,166,7,0,-91,0,0,45.2011,-54,67,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,119,13,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,116,15,1,0,0,0,40,3,3,891315045,808788017,1679843632,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,102285.6,48171.2,32218.4,74.5,3,4,4392,3696,2472,48,50,32,51,56,32,13104,35.65002442,139.6601969,-3.113,0.72,-5.53,0.986,-0.174,-10.275,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-2.126,-1.285,-88.704,247
0.7,03:06.8,9.314509869,1596517387,8,12,0,5,32.5,6,195,181,11,1345,16,0,16,4,0,175,6,10092544,0,0,2949760,64,6,0,0,0,20,7,D,1113,111,7,161,186,6,24138769,0,0,0,0,61,10,1,0,0,47,13,0,0,0,0,0,0,0,0,12,13,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,142,13,0,0,1113,0,0,0,0,0,245,11,0,0,45,11,3,13.78125,0,1,0,15519,196,11,14.307,14.592,14.25,14.535,0.4,0.4,135,11,5.84937E+13,0,4,0,0,145,12,0,30,12,0,-111,0,0,32.1811,-58,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,76,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,120,14,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,101,0,1,0,0,0,40,3,3,1696610356,1630543921,941646645,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,97280.8,48171.2,32218.4,74,1,0,4238.4,3696,2472,48,50,32,51,56,32,13104,35.65002442,139.6601969,-2.02,0.037,-4.205,0.919,0.354,-9.689,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-2.395,-1.263,-89.171,250
0.8,03:06.9,9.414510012,1596517387,252,0,0,5,19.7,0,54,17,5,1283,0,0,0,4,12,177,8,10092544,0,0,2949760,3,8,0,0,0,10,1,D,1111,103,1,161,145,11,23089473,0,0,0,0,66,15,1,0,0,49,15,0,0,0,0,0,0,0,0,14,15,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,141,15,0,0,1110,0,0,0,0,0,105,0,0,0,40,0,3,14.11875,0,1,0,15519,45,0,14.649,14.82,14.649,15.048,0.4,0.3,100,0,5.8636E+13,0,4,0,0,192,1,0,76,1,0,-101,0,0,19.5083,-51,69,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,106,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,102,1,1,0,0,0,40,3,3,958423353,959717433,891315045,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,48233.76,48171.2,32218.4,74,3,0,4315.2,3696,2472,48,50,32,51,56,32,13104,35.65002442,139.6601969,-0.824,-0.037,-3.247,0.537,1.624,-9.335,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-2.565,-1.258,-89.5,253
0.9,03:07.0,9.514509916,1596517387,255,3,0,5,9.9,2,216,217,15,1218,0,0,0,4,12,179,10,10092544,0,0,2949760,194,10,0,0,0,11,11,D,1115,96,11,146,125,0,19943649,0,0,0,0,55,4,1,0,0,35,1,0,0,0,0,0,0,0,0,0,1,1,0,808,2,0,1,1,0,0,0,255,0,0,0,0,0,131,1,0,0,1114,0,0,0,0,0,207,5,0,0,52,5,3,14.45625,0,1,0,15519,172,5,14.934,15.276,15.105,15.219,0.6,0.2,180,5,5.87783E+13,0,4,0,0,240,6,0,59,6,0,-143,0,0,10.416,-78,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117936,108,2,0,0,0,0,255,1,0,0,0,0,0,0,0,0,0,0,0,103,2,1,0,0,0,40,3,3,1679843632,1717641271,1629501284,0,1,1,0,0,3,48,50,32,874538552,1647845426,924856376,8242,49,807415864,8241,49,807415856,840971878,1664098360,941647409,49,52,32,48,56,32,53445.79,102223.04,32429.54,74.5,2,5,7617.6,3696,2472,48,50,32,51,56,32,13104,35.65002442,139.6601969,3.729,2.069,-2.429,0.485,0.604,-9.454,-0.055,-0.195,-0.098,-0.012,0.119,0.024,-2.263,-1.104,-89.769,256
